,Region,Basin Name
611,Cape Cod and Islands,CAPE COD
2838,Cape Cod and Islands,ISLANDS
2763,Central,BLACKSTONE
525,Central,CHICOPEE
1743,Central,FRENCH
298,Central,MILLERS
224,Central,NASHUA
10216,Central,QUINEBAUG
717,Connecticut River,CHICOPEE
0,Connecticut River,CONNECTICUT
200,Connecticut River,DEERFIELD
12123,Connecticut River,FARMINGTON
2907,Connecticut River,MILLERS
1143,Connecticut River,WESTFIELD
1304,Northeast,BOSTON HARBOR
7468,Northeast,CHARLES
851,Northeast,CONCORD
944,Northeast,IPSWICH
3971,Northeast,MERRIMACK
2241,Northeast,NASHUA
1090,Northeast,NORTH COASTAL
693,Northeast,SHAWSHEEN
7917,Northeast,
794,Southeast,BLACKSTONE
3275,Southeast,BOSTON HARBOR
2701,Southeast,BUZZARDS BAY
3338,Southeast,CHARLES
2355,Southeast,SOUTH COASTAL
406,Southeast,TAUNTON
6141,Southeast,TEN MILE
8303,Western,FARMINGTON
2591,Western,HOUSATONIC
8032,Western,HUDSON
11654,Western,
1111,,MILLERS
2784,,QUINEBAUG
1233,,WESTFIELD
3179,,
